tau_fs,N_CWE_caseA,N_UPPE_caseA,cost_CWE_caseA,cost_UPPE_caseA,ratio_caseA,N_CWE_caseB,N_UPPE_caseB,cost_CWE_caseB,cost_UPPE_caseB,ratio_caseB
2966.6645011106757,32,65536,480.0,1048576.0,2184.5333333333333,32,65536,480.0,1048576.0,2184.5333333333333
3071.4714274487164,32,65536,480.0,1048576.0,2184.5333333333333,32,65536,480.0,1048576.0,2184.5333333333333
3179.9809941777808,32,65536,480.0,1048576.0,2184.5333333333333,32,65536,480.0,1048576.0,2184.5333333333333
3292.3240089299866,32,65536,480.0,1048576.0,2184.5333333333333,32,65536,480.0,1048576.0,2184.5333333333333
3408.6359005360996,32,65536,480.0,1048576.0,2184.5333333333333,32,65536,480.0,1048576.0,2184.5333333333333
3529.0568822840855,32,65536,480.0,1048576.0,2184.5333333333333,32,65536,480.0,1048576.0,2184.5333333333333
3653.732120945495,32,65536,480.0,1048576.0,2184.5333333333333,32,65536,480.0,1048576.0,2184.5333333333333
3782.81191177304,32,65536,480.0,1048576.0,2184.5333333333333,32,65536,480.0,1048576.0,2184.5333333333333
3916.451859680659,32,65536,480.0,1048576.0,2184.5333333333333,32,65536,480.0,1048576.0,2184.5333333333333
4054.8130668243584,32,65536,480.0,1048576.0,2184.5333333333333,32,65536,480.0,1048576.0,2184.5333333333333
4198.062326809802,32,65536,480.0,1048576.0,2184.5333333333333,32,65536,480.0,1048576.0,2184.5333333333333
4346.372325761042,32,65536,480.0,1048576.0,2184.5333333333333,32,65536,480.0,1048576.0,2184.5333333333333
4499.92185049267,32,65536,480.0,1048576.0,2184.5333333333333,32,65536,480.0,1048576.0,2184.5333333333333
4658.896004036139,32,65536,480.0,1048576.0,2184.5333333333333,32,65536,480.0,1048576.0,2184.5333333333333
4823.486428780408,32,65536,480.0,1048576.0,2184.5333333333333,32,65536,480.0,1048576.0,2184.5333333333333
4993.891537495756,32,65536,480.0,1048576.0,2184.5333333333333,32,65536,480.0,1048576.0,2184.5333333333333
5170.316752519049,32,65536,480.0,1048576.0,2184.5333333333333,32,65536,480.0,1048576.0,2184.5333333333333
5352.974753389296,32,65536,480.0,1048576.0,2184.5333333333333,32,65536,480.0,1048576.0,2184.5333333333333
5542.085733231413,32,131072,480.0,2228224.0,4642.133333333333,32,131072,480.0,2228224.0,4642.133333333333
5737.8776641978,32,131072,480.0,2228224.0,4642.133333333333,32,131072,480.0,2228224.0,4642.133333333333
5940.586572287357,32,131072,480.0,2228224.0,4642.133333333333,32,131072,480.0,2228224.0,4642.133333333333
6150.45682187351,32,131072,480.0,2228224.0,4642.133333333333,32,131072,480.0,2228224.0,4642.133333333333
6367.741410283824,32,131072,480.0,2228224.0,4642.133333333333,32,131072,480.0,2228224.0,4642.133333333333
6592.702272786965,32,131072,480.0,2228224.0,4642.133333333333,32,131072,480.0,2228224.0,4642.133333333333
6825.610598353922,32,131072,480.0,2228224.0,4642.133333333333,32,131072,480.0,2228224.0,4642.133333333333
7066.747156574782,32,131072,480.0,2228224.0,4642.133333333333,32,131072,480.0,2228224.0,4642.133333333333
7316.402636124734,32,131072,480.0,2228224.0,4642.133333333333,32,131072,480.0,2228224.0,4642.133333333333
7574.877995187645,32,131072,480.0,2228224.0,4642.133333333333,32,131072,480.0,2228224.0,4642.133333333333
7842.484824259136,32,131072,480.0,2228224.0,4642.133333333333,32,131072,480.0,2228224.0,4642.133333333333
8119.545721767299,32,131072,480.0,2228224.0,4642.133333333333,32,131072,480.0,2228224.0,4642.133333333333
8406.394682962953,32,131072,480.0,2228224.0,4642.133333333333,32,131072,480.0,2228224.0,4642.133333333333
8703.377502549005,32,131072,480.0,2228224.0,4642.133333333333,32,131072,480.0,2228224.0,4642.133333333333
9010.852191533993,32,131072,480.0,2228224.0,4642.133333333333,32,131072,480.0,2228224.0,4642.133333333333
9329.18940881202,32,131072,480.0,2228224.0,4642.133333333333,32,131072,480.0,2228224.0,4642.133333333333
9658.772907989907,32,131072,480.0,2228224.0,4642.133333333333,32,131072,480.0,2228224.0,4642.133333333333
9999.999999999998,32,131072,480.0,2228224.0,4642.133333333333,32,131072,480.0,2228224.0,4642.133333333333
